name,gender,ethnicity,quality,call,city,jobs,experience,honors,volunteer,military,holes,school,email,computer,special,college,minimum,equal,wanted,requirements,reqexp,reqcomm,reqeduc,reqcomp,reqorg,industry
Allison,female,cauc,low,no,chicago,2,6,no,no,no,yes,no,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Kristen,female,cauc,high,no,chicago,3,6,no,yes,yes,no,yes,yes,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Lakisha,female,afam,low,no,chicago,1,6,no,no,no,no,yes,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Latonya,female,afam,high,no,chicago,4,6,no,yes,no,yes,no,yes,yes,yes,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
Carrie,female,cauc,high,no,chicago,3,22,no,no,no,no,yes,yes,yes,no,no,some,yes,secretary,yes,yes,no,no,yes,yes,health/education/social services
Jay,male,cauc,low,no,chicago,2,6,yes,no,no,no,no,no,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Jill,female,cauc,high,no,chicago,2,5,no,yes,no,no,yes,yes,yes,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Kenya,female,afam,high,no,chicago,4,21,no,yes,no,yes,no,yes,yes,yes,no,some,yes,secretary,yes,yes,no,no,yes,yes,health/education/social services
Latonya,female,afam,low,no,chicago,3,3,no,no,no,no,no,no,yes,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Tyrone,male,afam,high,no,chicago,2,6,no,yes,no,no,yes,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Aisha,female,afam,high,no,chicago,4,8,no,yes,no,yes,no,yes,yes,yes,yes,some,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Allison,female,cauc,high,no,chicago,4,8,no,no,no,no,yes,yes,yes,no,yes,some,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
Aisha,female,afam,low,no,chicago,4,4,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,yes,no,yes,no,yes,yes,business/personal services
Carrie,female,cauc,low,no,chicago,2,4,no,no,no,no,yes,no,yes,no,yes,none,yes,secretary,yes,no,yes,no,yes,yes,business/personal services
Aisha,female,afam,high,no,chicago,2,5,no,yes,no,no,no,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Geoffrey,male,cauc,low,no,chicago,3,4,no,no,no,no,no,no,yes,yes,no,none,yes,other,no,no,no,no,no,no,trade
Matthew,male,cauc,high,no,chicago,3,5,no,yes,no,no,yes,yes,no,no,yes,none,yes,other,no,no,no,no,no,no,trade
Tamika,female,afam,low,no,chicago,3,6,no,no,no,no,no,no,no,yes,yes,none,yes,other,no,no,no,no,no,no,trade
Jill,female,cauc,high,no,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
Latonya,female,afam,low,no,chicago,2,8,no,no,no,yes,no,no,no,no,no,none,no,retail sales,no,no,no,no,no,no,trade
Leroy,male,afam,high,no,chicago,3,4,no,yes,no,no,yes,yes,yes,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
Todd,male,cauc,low,no,chicago,3,3,no,no,no,no,no,no,yes,yes,yes,none,no,retail sales,no,no,no,no,no,no,trade
Allison,female,cauc,low,no,chicago,2,2,no,no,no,no,no,no,no,no,no,none,no,manager,yes,no,no,yes,no,no,trade
Carrie,female,cauc,low,no,chicago,3,7,no,no,no,yes,no,no,yes,no,yes,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
